model,data,pred_len,seq_len,n_features,bit_width,num_params,param_bytes,activation_arena_bytes,peak_ram_bytes,flash_bytes,flops,latency_ms,energy_mj,deploy_16k,deploy_32k,deploy_64k
DiPE_Linear,ETTh1,96,96,7,8,339,339,2688,6080,6483,5376,0.16128,0.04790016,1,1,1
DiPE_Linear,ETTh1,192,96,7,8,437,437,3360,7424,6581,6720,0.2016,0.05987519999999999,1,1,1
DiPE_Linear,ETTh1,336,96,7,8,585,585,4368,9440,6729,8736,0.26208,0.07783775999999999,1,1,1
DiPE_Linear,ETTh1,720,96,7,8,977,977,7056,14816,7121,14112,0.42336,0.12573791999999998,1,1,1
DiPE_Linear,ETTh2,96,96,7,8,339,339,2688,6080,6483,5376,0.16128,0.04790016,1,1,1
DiPE_Linear,ETTh2,192,96,7,8,437,437,3360,7424,6581,6720,0.2016,0.05987519999999999,1,1,1
DiPE_Linear,ETTh2,336,96,7,8,585,585,4368,9440,6729,8736,0.26208,0.07783775999999999,1,1,1
DiPE_Linear,ETTh2,720,96,7,8,977,977,7056,14816,7121,14112,0.42336,0.12573791999999998,1,1,1
DiPE_Linear,ETTm1,96,96,7,8,339,339,2688,6080,6483,5376,0.16128,0.04790016,1,1,1
DiPE_Linear,ETTm1,192,96,7,8,437,437,3360,7424,6581,6720,0.2016,0.05987519999999999,1,1,1
DiPE_Linear,ETTm1,336,96,7,8,585,585,4368,9440,6729,8736,0.26208,0.07783775999999999,1,1,1
DiPE_Linear,ETTm1,720,96,7,8,977,977,7056,14816,7121,14112,0.42336,0.12573791999999998,1,1,1
DiPE_Linear,ETTm2,96,96,7,8,339,339,2688,6080,6483,5376,0.16128,0.04790016,1,1,1
DiPE_Linear,ETTm2,192,96,7,8,437,437,3360,7424,6581,6720,0.2016,0.05987519999999999,1,1,1
DiPE_Linear,ETTm2,336,96,7,8,585,585,4368,9440,6729,8736,0.26208,0.07783775999999999,1,1,1
DiPE_Linear,ETTm2,720,96,7,8,977,977,7056,14816,7121,14112,0.42336,0.12573791999999998,1,1,1
DiPE_Linear,Weather,96,96,21,8,339,339,8064,14144,6483,16128,0.48384,0.14370047999999996,1,1,1
DiPE_Linear,Weather,192,96,21,8,437,437,10080,18176,6581,20160,0.6048,0.17962559999999997,0,1,1
DiPE_Linear,Weather,336,96,21,8,585,585,13104,24224,6729,26208,0.78624,0.23351328,0,1,1
DiPE_Linear,Weather,720,96,21,8,977,977,21168,40352,7121,42336,1.27008,0.37721376,0,0,1
DiPE_Linear,Exchange,96,96,8,8,339,339,3072,6656,6483,6144,0.18431999999999998,0.05474304,1,1,1
DiPE_Linear,Exchange,192,96,8,8,437,437,3840,8192,6581,7680,0.2304,0.06842879999999998,1,1,1
DiPE_Linear,Exchange,336,96,8,8,585,585,4992,10496,6729,9984,0.29952,0.08895744,1,1,1
DiPE_Linear,Exchange,720,96,8,8,977,977,8064,16640,7121,16128,0.48384,0.14370047999999996,0,1,1
DiPE_Linear,Electricity,96,96,321,8,339,339,123264,186944,6483,246528,7.39584,2.19656448,0,0,0
DiPE_Linear,Electricity,192,96,321,8,437,437,154080,248576,6581,308160,9.2448,2.7457055999999995,0,0,0
DiPE_Linear,Electricity,336,96,321,8,585,585,200304,341024,6729,400608,12.018239999999999,3.5694172799999997,0,0,0
DiPE_Linear,Electricity,720,96,321,8,977,977,323568,587552,7121,647136,19.41408,5.76598176,0,0,0
DiPE_Linear,Traffic,96,96,862,8,339,339,331008,498560,6483,662016,19.86048,5.89856256,0,0,0
DiPE_Linear,Traffic,192,96,862,8,437,437,413760,664064,6581,827520,24.8256,7.373203199999999,0,0,0
DiPE_Linear,Traffic,336,96,862,8,585,585,537888,912320,6729,1075776,32.27328,9.58516416,0,0,0
DiPE_Linear,Traffic,720,96,862,8,977,977,868896,1574336,7121,1737792,52.13376,15.48372672,0,0,0
SparseTSF,ETTh1,96,96,7,8,41,41,1344,4736,6185,10176,0.30528,0.09066816,1,1,1
SparseTSF,ETTh1,192,96,7,8,57,57,2016,6080,6201,15552,0.46656,0.13856832,1,1,1
SparseTSF,ETTh1,336,96,7,8,81,81,3024,8096,6225,23616,0.70848,0.21041856,1,1,1
SparseTSF,ETTh1,720,96,7,8,145,145,5712,13472,6289,45120,1.3536,0.40201919999999997,1,1,1
SparseTSF,ETTh2,96,96,7,8,41,41,1344,4736,6185,10176,0.30528,0.09066816,1,1,1
SparseTSF,ETTh2,192,96,7,8,57,57,2016,6080,6201,15552,0.46656,0.13856832,1,1,1
SparseTSF,ETTh2,336,96,7,8,81,81,3024,8096,6225,23616,0.70848,0.21041856,1,1,1
SparseTSF,ETTh2,720,96,7,8,145,145,5712,13472,6289,45120,1.3536,0.40201919999999997,1,1,1
SparseTSF,ETTm1,96,96,7,8,41,41,1344,4736,6185,10176,0.30528,0.09066816,1,1,1
SparseTSF,ETTm1,192,96,7,8,57,57,2016,6080,6201,15552,0.46656,0.13856832,1,1,1
SparseTSF,ETTm1,336,96,7,8,81,81,3024,8096,6225,23616,0.70848,0.21041856,1,1,1
SparseTSF,ETTm1,720,96,7,8,145,145,5712,13472,6289,45120,1.3536,0.40201919999999997,1,1,1
